image,label
D:/Study/code/archive/CamVid/train/0001TP_009990.png,D:/Study/code/archive/CamVid/train_labels/0001TP_009990_L.png
D:/Study/code/archive/CamVid/train/0016E5_06690.png,D:/Study/code/archive/CamVid/train_labels/0016E5_06690_L.png
D:/Study/code/archive/CamVid/train/0001TP_009780.png,D:/Study/code/archive/CamVid/train_labels/0001TP_009780_L.png
D:/Study/code/archive/CamVid/train/0016E5_08430.png,D:/Study/code/archive/CamVid/train_labels/0016E5_08430_L.png
D:/Study/code/archive/CamVid/train/0016E5_06720.png,D:/Study/code/archive/CamVid/train_labels/0016E5_06720_L.png
D:/Study/code/archive/CamVid/train/0016E5_08157.png,D:/Study/code/archive/CamVid/train_labels/0016E5_08157_L.png
D:/Study/code/archive/CamVid/train/0016E5_08097.png,D:/Study/code/archive/CamVid/train_labels/0016E5_08097_L.png
D:/Study/code/archive/CamVid/train/0006R0_f02760.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f02760_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f02790.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f02790_L.png
D:/Study/code/archive/CamVid/train/0016E5_08083.png,D:/Study/code/archive/CamVid/train_labels/0016E5_08083_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f02130.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f02130_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f02520.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f02520_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f00090.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f00090_L.png
D:/Study/code/archive/CamVid/train/0016E5_05550.png,D:/Study/code/archive/CamVid/train_labels/0016E5_05550_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f01050.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f01050_L.png
D:/Study/code/archive/CamVid/train/0016E5_05460.png,D:/Study/code/archive/CamVid/train_labels/0016E5_05460_L.png
D:/Study/code/archive/CamVid/train/0016E5_08220.png,D:/Study/code/archive/CamVid/train_labels/0016E5_08220_L.png
D:/Study/code/archive/CamVid/train/0006R0_f02100.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f02100_L.png
D:/Study/code/archive/CamVid/train/0006R0_f01410.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f01410_L.png
D:/Study/code/archive/CamVid/train/0016E5_07650.png,D:/Study/code/archive/CamVid/train_labels/0016E5_07650_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f00750.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f00750_L.png
D:/Study/code/archive/CamVid/train/0016E5_08013.png,D:/Study/code/archive/CamVid/train_labels/0016E5_08013_L.png
D:/Study/code/archive/CamVid/train/0016E5_07999.png,D:/Study/code/archive/CamVid/train_labels/0016E5_07999_L.png
D:/Study/code/archive/CamVid/train/0016E5_02070.png,D:/Study/code/archive/CamVid/train_labels/0016E5_02070_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f00720.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f00720_L.png
D:/Study/code/archive/CamVid/train/0016E5_01530.png,D:/Study/code/archive/CamVid/train_labels/0016E5_01530_L.png
D:/Study/code/archive/CamVid/train/0016E5_01440.png,D:/Study/code/archive/CamVid/train_labels/0016E5_01440_L.png
D:/Study/code/archive/CamVid/train/0016E5_08141.png,D:/Study/code/archive/CamVid/train_labels/0016E5_08141_L.png
D:/Study/code/archive/CamVid/train/0016E5_08490.png,D:/Study/code/archive/CamVid/train_labels/0016E5_08490_L.png
D:/Study/code/archive/CamVid/train/0016E5_01170.png,D:/Study/code/archive/CamVid/train_labels/0016E5_01170_L.png
D:/Study/code/archive/CamVid/train/0016E5_08400.png,D:/Study/code/archive/CamVid/train_labels/0016E5_08400_L.png
D:/Study/code/archive/CamVid/train/0016E5_07380.png,D:/Study/code/archive/CamVid/train_labels/0016E5_07380_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f03750.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f03750_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f03120.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f03120_L.png
D:/Study/code/archive/CamVid/train/0006R0_f03630.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f03630_L.png
D:/Study/code/archive/CamVid/train/0006R0_f02460.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f02460_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f01500.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f01500_L.png
D:/Study/code/archive/CamVid/train/0016E5_01860.png,D:/Study/code/archive/CamVid/train_labels/0016E5_01860_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f02700.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f02700_L.png
D:/Study/code/archive/CamVid/train/0016E5_08081.png,D:/Study/code/archive/CamVid/train_labels/0016E5_08081_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f01200.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f01200_L.png
D:/Study/code/archive/CamVid/train/0006R0_f02610.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f02610_L.png
D:/Study/code/archive/CamVid/train/0016E5_02100.png,D:/Study/code/archive/CamVid/train_labels/0016E5_02100_L.png
D:/Study/code/archive/CamVid/train/0016E5_06060.png,D:/Study/code/archive/CamVid/train_labels/0016E5_06060_L.png
D:/Study/code/archive/CamVid/train/0016E5_00930.png,D:/Study/code/archive/CamVid/train_labels/0016E5_00930_L.png
D:/Study/code/archive/CamVid/train/0006R0_f02940.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f02940_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f04050.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f04050_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f04650.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f04650_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f00000.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f00000_L.png
D:/Study/code/archive/CamVid/train/0001TP_009690.png,D:/Study/code/archive/CamVid/train_labels/0001TP_009690_L.png
D:/Study/code/archive/CamVid/train/0006R0_f02160.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f02160_L.png
D:/Study/code/archive/CamVid/train/0016E5_06150.png,D:/Study/code/archive/CamVid/train_labels/0016E5_06150_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f04920.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f04920_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f04950.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f04950_L.png
D:/Study/code/archive/CamVid/train/0006R0_f03930.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f03930_L.png
D:/Study/code/archive/CamVid/train/0006R0_f02010.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f02010_L.png
D:/Study/code/archive/CamVid/train/0016E5_08053.png,D:/Study/code/archive/CamVid/train_labels/0016E5_08053_L.png
D:/Study/code/archive/CamVid/train/0016E5_05910.png,D:/Study/code/archive/CamVid/train_labels/0016E5_05910_L.png
D:/Study/code/archive/CamVid/train/0001TP_009540.png,D:/Study/code/archive/CamVid/train_labels/0001TP_009540_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f00420.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f00420_L.png
D:/Study/code/archive/CamVid/train/0016E5_08041.png,D:/Study/code/archive/CamVid/train_labels/0016E5_08041_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f01590.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f01590_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f02220.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f02220_L.png
D:/Study/code/archive/CamVid/train/0016E5_06990.png,D:/Study/code/archive/CamVid/train_labels/0016E5_06990_L.png
D:/Study/code/archive/CamVid/train/0016E5_00690.png,D:/Study/code/archive/CamVid/train_labels/0016E5_00690_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f04320.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f04320_L.png
D:/Study/code/archive/CamVid/train/0006R0_f03540.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f03540_L.png
D:/Study/code/archive/CamVid/train/0016E5_04890.png,D:/Study/code/archive/CamVid/train_labels/0016E5_04890_L.png
D:/Study/code/archive/CamVid/train/0016E5_08017.png,D:/Study/code/archive/CamVid/train_labels/0016E5_08017_L.png
D:/Study/code/archive/CamVid/train/0016E5_07961.png,D:/Study/code/archive/CamVid/train_labels/0016E5_07961_L.png
D:/Study/code/archive/CamVid/train/0016E5_01560.png,D:/Study/code/archive/CamVid/train_labels/0016E5_01560_L.png
D:/Study/code/archive/CamVid/train/0016E5_08139.png,D:/Study/code/archive/CamVid/train_labels/0016E5_08139_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f03390.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f03390_L.png
D:/Study/code/archive/CamVid/train/0006R0_f02400.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f02400_L.png
D:/Study/code/archive/CamVid/train/0006R0_f02970.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f02970_L.png
D:/Study/code/archive/CamVid/train/0006R0_f02070.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f02070_L.png
D:/Study/code/archive/CamVid/train/0016E5_07320.png,D:/Study/code/archive/CamVid/train_labels/0016E5_07320_L.png
D:/Study/code/archive/CamVid/train/0006R0_f01710.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f01710_L.png
D:/Study/code/archive/CamVid/train/0016E5_05250.png,D:/Study/code/archive/CamVid/train_labels/0016E5_05250_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f03090.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f03090_L.png
D:/Study/code/archive/CamVid/train/0006R0_f02910.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f02910_L.png
D:/Study/code/archive/CamVid/train/0016E5_08119.png,D:/Study/code/archive/CamVid/train_labels/0016E5_08119_L.png
D:/Study/code/archive/CamVid/train/0006R0_f02640.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f02640_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f03300.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f03300_L.png
D:/Study/code/archive/CamVid/train/0001TP_010020.png,D:/Study/code/archive/CamVid/train_labels/0001TP_010020_L.png
D:/Study/code/archive/CamVid/train/0016E5_01830.png,D:/Study/code/archive/CamVid/train_labels/0016E5_01830_L.png
D:/Study/code/archive/CamVid/train/0016E5_06780.png,D:/Study/code/archive/CamVid/train_labels/0016E5_06780_L.png
D:/Study/code/archive/CamVid/train/0001TP_009390.png,D:/Study/code/archive/CamVid/train_labels/0001TP_009390_L.png
D:/Study/code/archive/CamVid/train/0016E5_08093.png,D:/Study/code/archive/CamVid/train_labels/0016E5_08093_L.png
D:/Study/code/archive/CamVid/train/0006R0_f01170.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f01170_L.png
D:/Study/code/archive/CamVid/train/0001TP_009840.png,D:/Study/code/archive/CamVid/train_labels/0001TP_009840_L.png
D:/Study/code/archive/CamVid/train/0001TP_010320.png,D:/Study/code/archive/CamVid/train_labels/0001TP_010320_L.png
D:/Study/code/archive/CamVid/train/0016E5_08063.png,D:/Study/code/archive/CamVid/train_labels/0016E5_08063_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f04590.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f04590_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f00330.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f00330_L.png
D:/Study/code/archive/CamVid/train/0016E5_08021.png,D:/Study/code/archive/CamVid/train_labels/0016E5_08021_L.png
D:/Study/code/archive/CamVid/train/0016E5_04920.png,D:/Study/code/archive/CamVid/train_labels/0016E5_04920_L.png
D:/Study/code/archive/CamVid/train/0016E5_01230.png,D:/Study/code/archive/CamVid/train_labels/0016E5_01230_L.png
D:/Study/code/archive/CamVid/train/0016E5_08103.png,D:/Study/code/archive/CamVid/train_labels/0016E5_08103_L.png
D:/Study/code/archive/CamVid/train/0001TP_009810.png,D:/Study/code/archive/CamVid/train_labels/0001TP_009810_L.png
D:/Study/code/archive/CamVid/train/0016E5_06120.png,D:/Study/code/archive/CamVid/train_labels/0016E5_06120_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f01830.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f01830_L.png
D:/Study/code/archive/CamVid/train/0006R0_f02430.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f02430_L.png
D:/Study/code/archive/CamVid/train/0006R0_f03600.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f03600_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f03690.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f03690_L.png
D:/Study/code/archive/CamVid/train/0016E5_07959.png,D:/Study/code/archive/CamVid/train_labels/0016E5_07959_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f01920.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f01920_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f04260.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f04260_L.png
D:/Study/code/archive/CamVid/train/0001TP_009720.png,D:/Study/code/archive/CamVid/train_labels/0001TP_009720_L.png
D:/Study/code/archive/CamVid/train/0016E5_04410.png,D:/Study/code/archive/CamVid/train_labels/0016E5_04410_L.png
D:/Study/code/archive/CamVid/train/0006R0_f02670.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f02670_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f00120.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f00120_L.png
D:/Study/code/archive/CamVid/train/0016E5_05610.png,D:/Study/code/archive/CamVid/train_labels/0016E5_05610_L.png
D:/Study/code/archive/CamVid/train/0016E5_07560.png,D:/Study/code/archive/CamVid/train_labels/0016E5_07560_L.png
D:/Study/code/archive/CamVid/train/0001TP_010350.png,D:/Study/code/archive/CamVid/train_labels/0001TP_010350_L.png
D:/Study/code/archive/CamVid/train/0016E5_04680.png,D:/Study/code/archive/CamVid/train_labels/0016E5_04680_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f01320.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f01320_L.png
D:/Study/code/archive/CamVid/train/0016E5_07620.png,D:/Study/code/archive/CamVid/train_labels/0016E5_07620_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f02430.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f02430_L.png
D:/Study/code/archive/CamVid/train/0006R0_f01470.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f01470_L.png
D:/Study/code/archive/CamVid/train/0016E5_07020.png,D:/Study/code/archive/CamVid/train_labels/0016E5_07020_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f04560.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f04560_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f01020.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f01020_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f00960.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f00960_L.png
D:/Study/code/archive/CamVid/train/0016E5_00390.png,D:/Study/code/archive/CamVid/train_labels/0016E5_00390_L.png
D:/Study/code/archive/CamVid/train/0001TP_010380.png,D:/Study/code/archive/CamVid/train_labels/0001TP_010380_L.png
D:/Study/code/archive/CamVid/train/0016E5_05490.png,D:/Study/code/archive/CamVid/train_labels/0016E5_05490_L.png
D:/Study/code/archive/CamVid/train/0016E5_07993.png,D:/Study/code/archive/CamVid/train_labels/0016E5_07993_L.png
D:/Study/code/archive/CamVid/train/0006R0_f01800.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f01800_L.png
D:/Study/code/archive/CamVid/train/0016E5_08061.png,D:/Study/code/archive/CamVid/train_labels/0016E5_08061_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f00300.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f00300_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f04350.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f04350_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f01290.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f01290_L.png
D:/Study/code/archive/CamVid/train/0016E5_08015.png,D:/Study/code/archive/CamVid/train_labels/0016E5_08015_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f00360.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f00360_L.png
D:/Study/code/archive/CamVid/train/0016E5_08117.png,D:/Study/code/archive/CamVid/train_labels/0016E5_08117_L.png
D:/Study/code/archive/CamVid/train/0016E5_08370.png,D:/Study/code/archive/CamVid/train_labels/0016E5_08370_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f02250.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f02250_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f04830.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f04830_L.png
D:/Study/code/archive/CamVid/train/0016E5_08055.png,D:/Study/code/archive/CamVid/train_labels/0016E5_08055_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f01530.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f01530_L.png
D:/Study/code/archive/CamVid/train/0016E5_04950.png,D:/Study/code/archive/CamVid/train_labels/0016E5_04950_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f01620.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f01620_L.png
D:/Study/code/archive/CamVid/train/0016E5_00840.png,D:/Study/code/archive/CamVid/train_labels/0016E5_00840_L.png
D:/Study/code/archive/CamVid/train/0006R0_f01500.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f01500_L.png
D:/Study/code/archive/CamVid/train/0016E5_02190.png,D:/Study/code/archive/CamVid/train_labels/0016E5_02190_L.png
D:/Study/code/archive/CamVid/train/0001TP_009510.png,D:/Study/code/archive/CamVid/train_labels/0001TP_009510_L.png
D:/Study/code/archive/CamVid/train/0016E5_01500.png,D:/Study/code/archive/CamVid/train_labels/0016E5_01500_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f00150.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f00150_L.png
D:/Study/code/archive/CamVid/train/0016E5_05580.png,D:/Study/code/archive/CamVid/train_labels/0016E5_05580_L.png
D:/Study/code/archive/CamVid/train/0016E5_02370.png,D:/Study/code/archive/CamVid/train_labels/0016E5_02370_L.png
D:/Study/code/archive/CamVid/train/0006R0_f01200.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f01200_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f02460.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f02460_L.png
D:/Study/code/archive/CamVid/train/0016E5_07410.png,D:/Study/code/archive/CamVid/train_labels/0016E5_07410_L.png
D:/Study/code/archive/CamVid/train/0016E5_08101.png,D:/Study/code/archive/CamVid/train_labels/0016E5_08101_L.png
D:/Study/code/archive/CamVid/train/0016E5_04650.png,D:/Study/code/archive/CamVid/train_labels/0016E5_04650_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f02490.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f02490_L.png
D:/Study/code/archive/CamVid/train/0016E5_07260.png,D:/Study/code/archive/CamVid/train_labels/0016E5_07260_L.png
D:/Study/code/archive/CamVid/train/0006R0_f02700.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f02700_L.png
D:/Study/code/archive/CamVid/train/0016E5_01470.png,D:/Study/code/archive/CamVid/train_labels/0016E5_01470_L.png
D:/Study/code/archive/CamVid/train/0006R0_f01140.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f01140_L.png
D:/Study/code/archive/CamVid/train/0016E5_00960.png,D:/Study/code/archive/CamVid/train_labels/0016E5_00960_L.png
D:/Study/code/archive/CamVid/train/0016E5_07080.png,D:/Study/code/archive/CamVid/train_labels/0016E5_07080_L.png
D:/Study/code/archive/CamVid/train/0016E5_05850.png,D:/Study/code/archive/CamVid/train_labels/0016E5_05850_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f04890.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f04890_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f04290.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f04290_L.png
D:/Study/code/archive/CamVid/train/0016E5_01890.png,D:/Study/code/archive/CamVid/train_labels/0016E5_01890_L.png
D:/Study/code/archive/CamVid/train/0016E5_06480.png,D:/Study/code/archive/CamVid/train_labels/0016E5_06480_L.png
D:/Study/code/archive/CamVid/train/0016E5_06810.png,D:/Study/code/archive/CamVid/train_labels/0016E5_06810_L.png
D:/Study/code/archive/CamVid/train/0006R0_f02370.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f02370_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f00600.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f00600_L.png
D:/Study/code/archive/CamVid/train/0016E5_07920.png,D:/Study/code/archive/CamVid/train_labels/0016E5_07920_L.png
D:/Study/code/archive/CamVid/train/0016E5_00660.png,D:/Study/code/archive/CamVid/train_labels/0016E5_00660_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f00930.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f00930_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f02160.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f02160_L.png
D:/Study/code/archive/CamVid/train/0016E5_08059.png,D:/Study/code/archive/CamVid/train_labels/0016E5_08059_L.png
D:/Study/code/archive/CamVid/train/0016E5_08095.png,D:/Study/code/archive/CamVid/train_labels/0016E5_08095_L.png
D:/Study/code/archive/CamVid/train/0016E5_07977.png,D:/Study/code/archive/CamVid/train_labels/0016E5_07977_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f02100.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f02100_L.png
D:/Study/code/archive/CamVid/train/0016E5_04710.png,D:/Study/code/archive/CamVid/train_labels/0016E5_04710_L.png
D:/Study/code/archive/CamVid/train/0016E5_05880.png,D:/Study/code/archive/CamVid/train_labels/0016E5_05880_L.png
D:/Study/code/archive/CamVid/train/0006R0_f01830.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f01830_L.png
D:/Study/code/archive/CamVid/train/0006R0_f02310.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f02310_L.png
D:/Study/code/archive/CamVid/train/0016E5_08075.png,D:/Study/code/archive/CamVid/train_labels/0016E5_08075_L.png
D:/Study/code/archive/CamVid/train/0016E5_07997.png,D:/Study/code/archive/CamVid/train_labels/0016E5_07997_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f03630.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f03630_L.png
D:/Study/code/archive/CamVid/train/0016E5_06750.png,D:/Study/code/archive/CamVid/train_labels/0016E5_06750_L.png
D:/Study/code/archive/CamVid/train/0006R0_f01530.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f01530_L.png
D:/Study/code/archive/CamVid/train/0016E5_08001.png,D:/Study/code/archive/CamVid/train_labels/0016E5_08001_L.png
D:/Study/code/archive/CamVid/train/0016E5_08033.png,D:/Study/code/archive/CamVid/train_labels/0016E5_08033_L.png
D:/Study/code/archive/CamVid/train/0016E5_00901.png,D:/Study/code/archive/CamVid/train_labels/0016E5_00901_L.png
D:/Study/code/archive/CamVid/train/0006R0_f02340.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f02340_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f01560.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f01560_L.png
D:/Study/code/archive/CamVid/train/0016E5_01740.png,D:/Study/code/archive/CamVid/train_labels/0016E5_01740_L.png
